RN,TS,F2UR,F3UF,F4NBDM,F5NBDR,F6NBDF
1,7/30/2016 0:00,0.0,0.0,0.0,0.0,0.0
2,7/30/2016 0:15,0.0,0.0,0.0,0.0,0.0
3,7/30/2016 0:30,0.0,0.0,0.0,0.0,0.0
4,7/30/2016 0:45,0.0,0.0,0.0,0.0,0.0
5,7/30/2016 1:00,0.0,0.0,0.0,0.0,0.0
6,7/30/2016 1:15,0.0,0.0,0.0,0.0,0.0
7,7/30/2016 1:30,0.0,0.0,0.0,0.0,0.0
8,7/30/2016 1:45,0.0,0.0,0.0,0.0,0.0
9,7/30/2016 2:00,0.0,0.0,0.0,0.0,0.0
10,7/30/2016 2:15,0.0,0.0,0.0,0.0,0.0
11,7/30/2016 2:30,0.0,0.0,0.0,0.0,0.0
12,7/30/2016 2:45,0.0,0.0,0.0,0.0,0.0
13,7/30/2016 3:00,0.0,0.0,0.0,0.0,0.0
14,7/30/2016 3:15,0.0,0.0,0.0,0.0,0.0
15,7/30/2016 3:30,0.0,0.0,0.0,0.0,0.0
16,7/30/2016 3:45,0.0,0.0,0.0,0.0,0.0
17,7/30/2016 4:00,0.0,0.0,0.0,0.0,0.0
18,7/30/2016 4:15,0.0,0.0,0.0,0.0,0.0
19,7/30/2016 4:30,0.0,0.0,0.0,0.0,0.0
20,7/30/2016 4:45,0.0,0.0,0.0,0.0,0.0
21,7/30/2016 5:00,0.0,0.0,0.0,0.0,0.0
22,7/30/2016 5:15,0.0,0.0,0.0,0.0,0.0
23,7/30/2016 5:30,0.0,0.0,0.0,0.0,0.0
24,7/30/2016 5:45,0.0,0.0,0.0,0.0,0.0
25,7/30/2016 6:00,0.0,0.0,0.0,0.0,0.0
26,7/30/2016 6:15,0.0,0.0,0.0,0.0,0.0
27,7/30/2016 6:30,0.0,0.0,0.0,0.0,0.0
28,7/30/2016 6:45,0.0,0.0,0.0,0.0,0.0
29,7/30/2016 7:00,0.0,0.0,0.0,0.0,0.0
30,7/30/2016 7:15,0.0,0.0,0.0,0.0,0.0
31,7/30/2016 7:30,0.0,0.0,0.0,0.0,0.0
32,7/30/2016 7:45,0.0,0.0,0.0,0.0,0.0
33,7/30/2016 8:00,0.0,0.0,0.0,0.0,0.0
34,7/30/2016 8:15,0.0,0.0,0.0,0.0,0.0
35,7/30/2016 8:30,0.0,0.0,0.0,0.0,0.0
36,7/30/2016 8:45,0.0,0.0,0.0,0.0,0.0
37,7/30/2016 9:00,0.0,0.0,0.0,0.0,0.0
38,7/30/2016 9:15,0.0,0.0,0.0,0.0,0.0
39,7/30/2016 9:30,0.0,0.0,0.0,0.0,0.0
40,7/30/2016 9:45,0.0,0.0,0.0,0.0,0.0
